State,District,Delta Confirmed,Delta Deceased,Delta Recovered,Total Confirmed,Total Deceased,Total Recovered
AP,Anantapur,1325,6,1471,18801,130,10944
AP,Chittoor,526,7,426,12874,127,7097
AP,East Godavari,1371,7,212,24685,188,13939
AP,Guntur,940,12,570,17821,163,10545
AP,Krishna,420,9,278,8239,187,5293
AP,Kurnool,1016,8,849,20695,218,11568
AP,Prakasam,224,1,241,6541,78,3697
AP,S.P.S. Nellore,557,7,466,9380,64,3997
AP,Srikakulam,537,6,340,8549,92,4844
AP,Visakhapatnam,863,2,1115,15059,131,5058
AP,Vizianagaram,591,1,157,6228,66,2457
AP,West Godavari,612,1,592,14406,111,8640
AP,Y.S.R. Kadapa,765,0,236,10160,49,4651
AR,Changlang,2,0,0,248,0,116
AR,East Kameng,1,0,1,45,0,3
AR,East Siang,4,0,7,102,0,53
AR,Lohit,8,0,2,37,0,13
AR,Lower Siang,7,0,0,38,0,15
AR,Namsai,0,0,2,102,0,55
AR,Papum Pare,5,0,12,892,1,675
AR,Tawang,0,0,9,43,0,20
AR,Tirap,2,0,9,60,0,25
AR,West Kameng,3,0,0,56,2,34
AS,Dibrugarh,201,2,0,1882,7,550
AS,Jorhat,0,1,0,1513,10,691
AS,Kamrup,294,0,0,1720,5,318
AS,Kamrup Metropolitan,550,0,0,16900,47,8701
AS,Nagaon,213,0,0,2226,2,1009
AS,Sonitpur,0,1,0,1206,2,498
AS,Tinsukia,0,2,0,900,12,629
AS,Unknown,1628,0,993,10034,0,13700
BR,Araria,37,0,16,764,7,420
BR,Arwal,27,1,12,632,3,430
BR,Aurangabad,32,0,33,1149,4,687
BR,Banka,35,0,9,790,2,439
BR,Begusarai,75,0,56,2123,10,1349
BR,Bhagalpur,59,0,80,2911,30,2223
BR,Bhojpur,63,1,34,1820,13,1220
BR,Buxar,77,0,32,1294,4,745
BR,Darbhanga,44,0,24,1042,10,635
BR,East Champaran,65,0,42,1543,13,1073
BR,Gaya,63,0,61,2454,23,1554
BR,Gopalganj,34,0,30,1174,1,793
BR,Jamui,37,0,24,950,1,661
BR,Jehanabad,32,0,26,1017,5,733
BR,Kaimur,12,0,57,604,7,448
BR,Katihar,120,0,28,1523,3,914
BR,Khagaria,58,0,46,1393,5,947
BR,Kishanganj,30,0,39,835,4,546
BR,Lakhisarai,23,0,32,842,4,687
BR,Madhepura,29,1,23,827,2,542
BR,Madhubani,49,0,32,1411,2,826
BR,Munger,52,0,47,1231,17,908
BR,Muzaffarpur,197,0,341,2797,13,1949
BR,Nalanda,69,0,50,2538,20,1529
BR,Nawada,28,0,34,1494,7,1172
BR,Patna,393,5,590,10510,54,7011
BR,Purnia,69,0,32,1505,4,969
BR,Rohtas,75,3,49,2438,22,1531
BR,Saharsa,49,0,20,939,1,520
BR,Samastipur,74,1,69,1529,12,969
BR,Saran,97,0,61,1897,11,1198
BR,Sheikhpura,42,1,23,698,2,445
BR,Sheohar,11,0,2,345,1,223
BR,Sitamarhi,84,0,12,849,4,384
BR,Siwan,53,0,21,1727,8,1274
BR,Supaul,64,0,33,1142,2,719
BR,Vaishali,85,0,64,1715,8,979
BR,West Champaran,21,0,68,1579,10,1108
CH,Chandigarh,46,1,9,1206,20,715
CT,Balod,1,0,3,96,0,89
CT,Baloda Bazar,5,0,12,409,2,348
CT,Balrampur,26,0,2,223,0,189
CT,Bastar,37,0,3,236,1,152
CT,Bijapur,1,0,0,85,0,58
CT,Bilaspur,10,3,10,679,6,559
CT,Dakshin Bastar Dantewada,0,0,4,135,0,126
CT,Dhamtari,1,0,0,43,1,32
CT,Durg,55,1,29,875,9,596
CT,Gariaband,0,0,1,97,1,83
CT,Gaurela Pendra Marwahi,1,0,5,32,0,30
CT,Janjgir Champa,5,0,16,499,2,438
CT,Jashpur,1,0,3,251,0,215
CT,Kabeerdham,7,0,23,214,0,167
CT,Kondagaon,25,0,0,136,0,48
CT,Koriya,2,0,0,127,1,100
CT,Mahasamund,11,0,0,168,1,107
CT,Mungeli,4,0,6,175,0,168
CT,Narayanpur,1,0,1,172,0,159
CT,Other State,0,0,1,8,2,6
CT,Raigarh,3,0,7,259,2,197
CT,Raipur,157,3,178,3338,34,2119
CT,Rajnandgaon,22,0,40,770,4,579
CT,Sukma,0,0,5,77,0,71
CT,Surajpur,11,0,0,83,1,49
CT,Surguja,0,1,7,237,2,210
CT,Uttar Bastar Kanker,4,0,0,234,0,225
DL,Delhi,674,12,972,139156,4033,125226
GA,North Goa,24,1,0,1131,16,502
GA,Other State,0,0,9,186,0,174
GA,South Goa,6,3,0,2133,44,813
GA,Unknown,229,0,229,3625,0,3625
GJ,Ahmedabad,153,3,107,27122,1612,21908
GJ,Amreli,18,0,23,520,9,296
GJ,Anand,9,0,0,520,13,443
GJ,Aravalli,5,0,3,317,24,266
GJ,Banaskantha,6,0,0,754,17,752
GJ,Bharuch,16,0,15,943,11,705
